Depth,Mud Weight (kg/m3)
176,3297.666959597605
290,3425.6554853813336
677,3613.8681120187516
988,3580.0018160559785
1200,3613.8681120187516
1200,3613.8681120187516
1200,3613.8681120187516
1200,3613.8681120187516
1200,3990.3251986745254
1223,3960.1976063089433
1717,3990.3251986745254
1774,3960.1976063089433
1805,3990.3251986745254
2121,4054.3194608134977
2379,4148.44169176379
2602,4148.44169176379
2720,4148.44169176379
2720,4148.44169176379
2720,4148.44169176379
2720,4242.5324631437625
2720,4208.666166051653
2750,4585.122877391025
2750,4554.995285025444
2750,4524.867319978581
2959,4585.122877391025
3063,4585.122877391025
3063,4585.122877391025
3063,4585.122877391025
3106,3580.0018160559785
3333,3580.0018160559785
3338,3580.0018160559785
3461,3580.0018160559785
3467,3580.0018160559785
3635,3643.9960789478428
3708,3674.1240458769335
3827,3643.9960789478428
3893,3674.1240458769335
4015,3643.9960789478428
4208,3674.1240458769335
4208,3674.1240458769335
4343,3643.9960789478428
4438,3674.1240458769335
4489,3643.9960789478428
4592,3485.8799607985325
4713,3391.78918941856
4882,3237.4424845568524
5071,3237.4424845568524
5071,3237.4424845568524
5240,3237.4424845568524
5326,3237.4424845568524
5351,3237.4424845568524
5580,3237.4424845568524
5780,3237.4424845568524
5831,3237.4424845568524
5851,3237.4424845568524
5874,3237.4424845568524
5878,3237.4424845568524
5942,3237.4424845568524
6145,3237.4424845568524
6183,3237.4424845568524
6183,3237.4424845568524
6183,3237.4424845568524
6229,3237.4424845568524
6280,3237.4424845568524
6280,3237.4424845568524
6280,3237.4424845568524
6280,3237.4424845568524
6280,3237.4424845568524
6280,3237.4424845568524
6280,3237.4424845568524
6280,3237.4424845568524
6280,3391.78918941856
6280,3391.78918941856
6280,3391.78918941856
6280,3391.78918941856
6280,3391.78918941856
6280,3391.78918941856
6280,3391.78918941856
6280,3391.78918941856
